season,ID,treat,thread_num,mass,cost_gonad,cost_somatic,cost_byssus,growth,intake,intake_prop,cost_prop,
Autumn,B,weekly,1.965517241,116,1.184369748,8.211630252,2.001499161,24.2278436,35.62534276,0.056181892,0.195973152,
Autumn,17,weekly,7.75862069,117,1.184625,8.292375,7.900654584,18.45931545,35.83697003,0.220461009,0.487904659,
Autumn,22,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
Autumn,37,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
Autumn,C,weekly,3.931034483,109,1.110933775,7.718066225,4.002998322,21.29572541,34.12772374,0.117294618,0.341521737,
Autumn,3,weekly,8.931034483,89,0.369692308,6.839307692,9.094531276,13.36951566,29.67304694,0.306491318,0.570768369,
Autumn,8,weekly,15.17241379,104,0.8736,7.5504,15.45016896,9.165527064,33.03969603,0.467624428,0.67172986,
Autumn,20,weekly,7.24137931,87,0.461018692,6.585981308,7.373944278,14.7903852,29.21132948,0.252434395,0.52822232,
Autumn,30,weekly,5.103448276,121,1.064108571,8.736891429,5.196875015,21.68006572,36.67794074,0.141689389,0.372969867,
Autumn,35,weekly,9.172413793,195,4.504042969,11.29095703,9.340329419,25.84550281,50.98083223,0.183212572,0.452726467,
Autumn,A,never,1.793103448,122,1.211341935,8.670658065,1.825929059,25.17889991,36.88682897,0.049500841,0.173954547,
Autumn,7,never,8.275862069,133,0.936782609,9.836217391,8.427364889,19.95043785,39.15080274,0.215253949,0.461430006,
Autumn,14,never,1.620689655,86,1.499625,5.466375,1.650358957,20.36287962,28.97923858,0.0569497,0.231898363,
Autumn,21,never,1.137931034,120,0.999771429,8.720228571,1.158762672,25.58975397,36.46851664,0.03177433,0.117295647,
Autumn,18,never,1.689655172,82,1.303570093,5.338429907,1.720586998,19.67977537,28.04236237,0.061356707,0.243743147,
Autumn,12,never,3.517241379,108,1.838347826,6.909652174,3.581630078,21.58174733,33.91137741,0.105617358,0.34139107,
Autumn,23,never,3.689655172,232,2.378262137,16.41373786,3.75720018,34.92457814,57.47377832,0.065372424,0.186267995,
Autumn,33,never,2.965517241,160,3.113766234,9.846233766,3.019805752,28.49620504,44.4760108,0.067897406,0.234711369,
Autumn,36,never,7.034482759,171,1.180482955,12.67051705,7.163260156,25.54974784,46.56400799,0.153836847,0.361164698,
Autumn,42,never,2.310344828,185,2.827358491,12.15764151,2.352639365,31.8245858,49.16222516,0.047854615,0.162136032,
Autumn,9,never,2.827586207,136,2.082292683,8.933707317,2.87934967,25.86268295,39.75803262,0.072421835,0.243742976,
Autumn,19,never,3.517241379,91,0.452605263,6.918394737,3.581630078,19.17892872,30.1315588,0.118866405,0.34110682,
Autumn,31,never,1.206896552,184,3.005848739,11.89815126,1.228990713,32.84571865,48.97870936,0.025092346,0.093622109,
Autumn,34,never,4.275862069,118,1.702109589,7.855890411,4.354138526,22.13589879,36.04803732,0.120787118,0.356603457,
Autumn,38,never,0.206896552,131,2.973130435,7.637869565,0.210684122,27.92193913,38.74362325,0.005437904,0.026843687,
Spring,21,daily,6.862068966,99.384,2.973990909,12.72868109,7.998602723,18.37307572,42.07435045,0.190106386,0.385897293,
Spring,24,daily,8.75862069,103.566,3.471030182,12.89239782,10.20927182,16.71544005,43.28813987,0.235844549,0.441927877,
Spring,29,daily,6.586206897,99.384,3.727972489,11.97469951,7.677050855,18.69462759,42.07435045,0.182463919,0.390654813,
Spring,37,daily,4.379310345,81.918,2.353280727,10.58976327,5.104635909,18.77376267,36.82144258,0.138632154,0.325252076,
Spring,90,daily,7.310344828,122.508,4.25837808,15.09788592,8.521124509,20.73002639,48.6074149,0.175305034,0.360773985,
Spring,11,daily,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
Spring,31,daily,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent
Spring,40,daily,13.13793103,106.272,3.598066286,13.19290971,15.31390773,11.96055144,44.06543517,0.347526529,0.537201593,
Spring,43,daily,12.62068966,124.23,3.900503462,15.72783654,14.71099797,14.73848943,49.0778274,0.299748354,0.483297019,
Spring,45,daily,9.965517241,140.22,4.114455429,18.04030457,11.61606124,19.58329473,53.35411597,0.21771631,0.391688628,
Spring,6,daily,9.206896552,140.22,3.06204,19.09272,10.7317936,20.46756237,53.35411597,0.20114275,0.359831303,
Spring,13,daily,7.482758621,112.176,3.49483538,14.22897262,8.722094427,19.29450403,45.74040645,0.190686859,0.380030018,
Spring,30,daily,13.44827586,127.674,5.103883518,15.06860848,15.67565358,14.16449152,50.0126371,0.313433854,0.509872494,
Spring,55,daily,8.24137931,153.012,3.453699429,20.72219657,9.606362064,22.88466654,56.6669246,0.169523265,0.316743113,
Spring,57,daily,15.03448276,159.654,4.090594378,21.13473762,17.52457682,15.60308181,58.35299063,0.300320114,0.453308008,
Spring,3,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
Spring,10,weekly,1.793103448,80.688,3.8246112,8.9240928,2.090087144,21.60027431,36.43906546,0.057358418,0.189763301,
Spring,42,weekly,3.034482759,118.818,5.717739289,13.05550471,3.537070551,25.28210651,47.59242106,0.074320038,0.213171885,
Spring,44,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent
Spring,89,weekly,1.689655172,117.096,3.398173714,15.10299429,1.969505193,26.64474773,47.11542092,0.041801711,0.115361268,
Spring,1,weekly,1.931034483,137.268,5.892209064,15.79613494,2.250863078,28.63731755,52.57652462,0.04281118,0.124722299,
Spring,4,weekly,0.75862069,111.93,3.651084387,14.03385561,0.884267638,27.10196281,45.67117045,0.019361615,0.059274724,
Spring,46,weekly,3.034482759,120.048,2.943245793,16.02433821,3.537070551,25.42716937,47.93182392,0.073793782,0.180818805,
Spring,54,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead
Spring,88,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent
Spring,12,weekly,1.724137931,97.908,0.697870556,14.77159344,2.009699177,24.16303031,41.64219349,0.048261127,0.119758306,
Spring,22,weekly,1.862068966,91.02,2.853404762,11.52775524,2.170475111,23.04638461,39.59801972,0.054812719,0.158449307,
Spring,51,weekly,2.655172414,90.282,2.933844851,11.33071115,3.094936732,22.01671272,39.37620545,0.078599162,0.214544037,
Spring,52,weekly,4.24137931,114.636,3.66985051,14.44263749,4.943859975,23.37385268,46.43020066,0.106479401,0.255015636,
Spring,60,weekly,4.379310345,99.384,3.980959099,11.7217129,5.104635909,21.26704254,42.07435045,0.121324176,0.303371573,
Spring,9,never,0.786206897,85.608,2.945191355,10.58087265,0.916422825,23.51556867,37.95805549,0.024143039,0.079707687,
Spring,26,never,0.786206897,115.866,4.576707,13.730121,0.916422825,27.55012372,46.77337454,0.019592831,0.06256922,
Spring,47,never,0.786206897,107.01,3.406751194,13.50082881,0.916422825,26.45235263,44.27635545,0.020697793,0.063564322,
Spring,58,never,0.786206897,87.33,2.550916639,11.24722336,0.916422825,23.768696,38.48325882,0.023813545,0.075341128,
Spring,87,never,0.786206897,153.75,6.260953608,18.03154639,0.916422825,31.64644715,56.85536998,0.016118492,0.048365227,
Spring,19,never,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent
Spring,28,never,0.779310345,123.738,2.364992419,17.18561158,0.908384028,28.48464324,48.94363126,0.0185598,0.050203617,
Spring,34,never,0.779310345,102.336,2.1558784,14.0132096,0.908384028,25.85527487,42.9327469,0.021158302,0.060877146,
Spring,35,never,0.779310345,148.092,1.31616765,22.08236835,0.908384028,31.09640849,55.40332851,0.016395839,0.039510844,
Spring,36,never,0.779310345,119.556,2.344946648,16.54490135,0.908384028,27.99796072,47.79619275,0.019005364,0.052046592,
Spring,14,never,0.813793103,123,6.56212987,12.87187013,0.948578011,28.35944844,48.74202645,0.019461194,0.068635836,
Spring,48,never,0.813793103,123.492,4.320455829,15.19128017,0.948578011,28.41615717,48.87647118,0.019407662,0.058772388,
Spring,53,never,0.813793103,115.374,4.907832462,13.32125954,0.948578011,27.45857116,46.63624117,0.020339933,0.066474338,
Spring,56,never,0.813793103,110.946,3.603279533,13.92618847,0.948578011,26.91570717,45.39375318,0.020896664,0.063770951,
Spring,59,never,0.813793103,118.818,5.0285475,13.7446965,0.948578011,27.87059905,47.59242106,0.019931283,0.064558653,
