season,treatment,cage,ID,date_init,date_final,expt_length,len_init_cm,len_init_mm,Buoy_WT_init_g,init_dry_wt_calc_len_cubed_g,initial_dry_wt_calc_buoy_wt_g,len_final_cm,len_final_mm,final_height_cm,final_width_cm,Buoy_WT_final,thread_count,final_gonad_wt_dry_g,final_somatic_wt_dry_g,final_total_wt_dry_g,final_total_wt_wet_g,final_shell_wt_g,growth_len_cm,growth_WT_len_cubed_g,growth_buoy_wt_g,notes,
Spring,daily,3,6,25-Apr,24-May,29,2.7,27,0.57,0.099,0.14022,2.85,28.5,,,0.638,267,0.017,0.106,0.123,0.75,1.034,0.15,0.024262875,0.068,,
Spring,daily,3,13,25-Apr,24-May,29,2.55,25.5,0.456,0.125,0.112176,2.67,26.7,,,0.56,217,0.028,0.114,0.142,0.6,0.892,0.12,0.017169516,0.104,,
Spring,daily,3,30,25-Apr,24-May,29,2.61,26.1,0.519,0.153,0.127674,2.7,27,,,0.607,390,0.042,0.124,0.166,0.45,0.963,0.09,0.013323933,0.088,,
Spring,daily,3,55,25-Apr,24-May,29,2.7,27,0.622,0.124,0.153012,2.76,27.6,,,0.655,239,0.019,0.114,0.133,0.3,1.045,0.06,0.009391032,0.033,,
Spring,daily,3,57,25-Apr,24-May,29,2.65,26.5,0.649,0.123,0.159654,2.81,28.1,,,0.762,436,0.024,0.124,0.148,0.8,1.211,0.16,0.025048912,0.113,,
Spring,weekly,4,3,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Dead on May 8.,
Spring,weekly,4,10,25-Apr,24-May,29,2.3,23,0.328,0.089,0.080688,2.55,25.5,,,0.446,52,0.036,0.084,0.12,1.25,0.701,0.25,0.030900625,0.118,,
Spring,weekly,4,42,25-Apr,24-May,29,2.7,27,0.483,0.184,0.118818,2.78,27.8,,,0.536,88,0.06,0.137,0.197,0.4,0.864,0.08,0.012613664,0.053,,
Spring,weekly,4,44,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Lost from field enclosure on May 8.,
Spring,weekly,4,89,25-Apr,24-May,29,2.89,28.9,0.476,0.127,0.117096,3,30,,,0.602,49,0.027,0.12,0.147,0.55,0.935,0.11,0.020037017,0.126,,
Spring,weekly,5,1,25-Apr,24-May,29,2.63,26.3,0.558,0.142,0.137268,2.83,28.3,,,0.704,56,0.047,0.126,0.173,1,1.113,0.2,0.03131618,0.146,,
Spring,weekly,5,4,25-Apr,24-May,29,2.54,25.4,0.455,0.124,0.11193,2.75,27.5,,,0.555,22,0.032,0.123,0.155,1.05,0.883,0.21,0.030868677,0.1,,
Spring,weekly,5,46,25-Apr,24-May,29,2.59,25.9,0.488,0.098300276,0.120048,2.71,27.1,,,0.582,88,0.018,0.098,0.116,0.6,0.915,0.12,0.017699724,0.094,,
Spring,weekly,5,54,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Dead on May 22.,
Spring,weekly,5,88,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,No initial data. Mussel placed into field enclosure on May 1.,
Spring,weekly,6,12,25-Apr,24-May,29,2.42,24.2,0.398,0.07,0.097908,2.85,28.5,,,0.624,50,0.006,0.127,0.133,2.15,0.985,0.43,0.062836459,0.226,,
Spring,weekly,6,22,25-Apr,24-May,29,2.39,23.9,0.37,0.097,0.09102,2.61,26.1,,,0.46,54,0.025,0.101,0.126,1.1,0.714,0.22,0.028893634,0.09,,
Spring,weekly,6,51,25-Apr,24-May,29,2.23,22.3,0.367,0.098,0.090282,2.58,25.8,,,0.5,77,0.029,0.112,0.141,1.75,0.793,0.35,0.042587615,0.133,,
Spring,weekly,6,52,25-Apr,24-May,29,2.45,24.5,0.466,0.115,0.114636,2.72,27.2,,,0.6,123,0.031,0.122,0.153,1.35,0.965,0.27,0.037922661,0.134,,
Spring,weekly,6,60,25-Apr,24-May,29,2.47,24.7,0.404,0.116,0.099384,2.66,26.6,,,0.469,127,0.036,0.106,0.142,0.95,0.744,0.19,0.026263111,0.065,,
Spring,never,7,9,25-Apr,24-May,29,2.45,24.5,0.348,0.098,0.085608,2.64,26.4,,,0.436,22.8,0.027,0.097,0.124,0.95,0.676,0.19,0.025855333,0.088,Thread count estimated for treatment,
Spring,never,7,26,25-Apr,24-May,29,2.4,24,0.471,0.098,0.115866,2.73,27.3,,,0.615,22.8,0.036,0.108,0.144,1.65,0.986,0.33,0.045656919,0.144,Thread count estimated for treatment,
Spring,never,7,47,25-Apr,24-May,29,2.44,24.4,0.435,0.111,0.10701,2.61,26.1,,,0.509,22.8,0.027,0.107,0.134,0.85,0.8,0.17,0.022769579,0.074,Thread count estimated for treatment,
Spring,never,7,58,25-Apr,24-May,29,2.3,23,0.355,0.088,0.08733,2.55,25.5,,,0.484,22.8,0.022,0.097,0.119,1.25,0.758,0.25,0.030900625,0.129,Thread count estimated for treatment,
Spring,never,7,87,25-Apr,24-May,29,2.7,27,0.625,0.166,0.15375,2.87,28.7,,,0.755,22.8,0.05,0.144,0.194,0.85,1.198,0.17,0.027698321,0.13,Thread count estimated for treatment,
Spring,never,7,19,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Lost from field enclosure on May 24th.,
Spring,never,8,28,25-Apr,24-May,29,2.62,26.2,0.503,0.084413775,0.123738,2.87,28.7,,,0.63,22.6,0.015,0.109,0.124,1.25,0.999,0.25,0.039586225,0.127,Thread count estimated for treatment,
Spring,never,8,34,25-Apr,24-May,29,2.5,25,0.416,0.092,0.102336,2.7,27,,,0.522,22.6,0.016,0.104,0.12,1,0.824,0.2,0.028406,0.106,Thread count estimated for treatment,
Spring,never,8,35,25-Apr,24-May,29,2.79,27.9,0.602,0.105,0.148092,3.09,30.9,,,0.75,22.6,0.009,0.151,0.16,1.5,1.21,0.3,0.05450193,0.148,Thread count estimated for treatment,
Spring,never,8,36,25-Apr,24-May,29,2.514,25.142,0.486,0.108,0.119556,2.764,27.638,,,0.657,22.6,0.018,0.127,0.145,1.247869819,1.036,0.249573964,0.03652664,0.171,Thread count estimated for treatment,
Spring,never,9,14,25-Apr,24-May,29,2.513,25.129,0.5,0.117,0.123,2.765,27.65,,,0.675,23.6,0.052,0.102,0.154,1.26063733,1.061,0.252127466,0.036900127,0.175,Thread count estimated for treatment,
Spring,never,9,48,25-Apr,24-May,29,2.512,25.116,0.502,0.108,0.123492,2.73,27.3,,,0.6275,23.6,0.031,0.109,0.14,1.09215828,0.926,0.218431656,0.031524537,0.1255,Thread count estimated for treatment,
Spring,never,9,53,25-Apr,24-May,29,2.51,25.103,0.469,0.106,0.115374,2.84,28.4,,,0.58,23.6,0.042,0.114,0.156,1.648684915,0.916,0.329736983,0.04961657,0.111,Thread count estimated for treatment,
Spring,never,9,56,25-Apr,24-May,29,2.509,25.09,0.451,0.1,0.110946,3.01,30.1,,,0.58,23.6,0.037,0.143,0.18,2.505211551,0.9,0.50104231,0.080341393,0.129,Thread count estimated for treatment,
Spring,never,9,59,25-Apr,24-May,29,2.508,25.077,0.483,0.115,0.118818,2.86,28.6,,,0.586,23.6,0.045,0.123,0.168,1.761738186,0.925,0.352347637,0.053373142,0.103,Thread count estimated for treatment,
Autumn,daily,1,1,17-Oct-14,15-Nov-14,29,2.38,23.8,0.525,0.134,0.12,2.4,24,1,1.4,0.572,495,0.025,0.112,0.137,0.577,,0.02,0.003,0.047,,
Autumn,daily,1,11,17-Oct-14,15-Nov-14,29,2.68,26.8,0.548,0.149,0.125,2.72,27.2,1.06,1.58,0.749,608,0.027,0.129,0.156,0.756,,0.04,0.007,0.201,,
Autumn,daily,1,24,17-Oct-14,15-Nov-14,29,2.2,22,0.291,0.079,0.067,2.34,23.4,0.88,1.37,0.386,257,0.005,0.092,0.097,0.462,,0.14,0.018,0.095,,
Autumn,daily,1,32,17-Oct-14,15-Nov-14,29,2.76,27.6,0.756,0.185,0.173,2.85,28.5,1.21,1.65,0.83,358,0.032,0.17,0.202,0.948,,0.09,0.017,0.074,,
Autumn,daily,1,45,17-Oct-14,15-Nov-14,29,2.58,25.8,0.707,0.101,0.162,2.6,26,1.1,1.56,0.817,302,0.014,0.09,0.104,0.554,,0.02,0.003,0.11,,
Autumn,daily,2,5,17-Oct-14,15-Nov-14,29,2.3,23,0.477,0.127,0.109,2.32,23.2,1,1.43,0.505,499,0.017,0.113,0.13,0.63,,0.02,0.003,0.028,,
Autumn,daily,2,25,17-Oct-14,15-Nov-14,29,2.3,23,0.316,0.079,0.072,2.38,23.8,0.89,1.45,0.441,506,0.008,0.082,0.09,0.486,,0.08,0.011,0.125,,
Autumn,daily,2,28,17-Oct-14,15-Nov-14,29,2.85,28.5,0.654,0.222,0.15,2.93,29.3,1.07,1.74,0.785,385,0.053,0.185,0.238,1.154,,0.08,0.016,0.131,,
Autumn,daily,2,40,17-Oct-14,15-Nov-14,29,2.36,23.6,0.56,0.19,0.128,2.44,24.4,1.13,1.56,0.64,465,0.055,0.146,0.201,0.859,,0.08,0.011,0.08,,
Autumn,daily,2,41,17-Oct-14,15-Nov-14,29,2.1,21,0.38,0.077,0.087,2.18,21.8,0.84,1.44,0.447,512,0.005,0.081,0.086,0.393,,0.08,0.009,0.067,,
Autumn,daily,3,10,17-Oct-14,15-Nov-14,29,2.37,23.7,0.33,0.071,0.076,2.46,24.6,0.83,1.39,0.421,531,0.007,0.077,0.084,0.433,,0.09,0.013,0.091,,
Autumn,daily,3,13,17-Oct-14,15-Nov-14,29,2.37,23.7,0.582,0.138,0.133,2.55,25.5,1.06,1.52,0.672,446,0.037,0.128,0.165,0.75,,0.18,0.027,0.09,,
Autumn,daily,3,27,17-Oct-14,15-Nov-14,29,2.32,23.2,0.736,0.095,0.169,2.52,25.2,0.99,1.39,0.468,539,0.018,0.106,0.124,0.632,,0.2,0.029,0.032,,
Autumn,daily,3,29,17-Oct-14,15-Nov-14,29,2.5,25,0.513,0.12,0.117,2.68,26.8,1.16,1.49,0.65,525,0.024,0.126,0.15,0.728,,0.18,0.03,0.137,,
Autumn,daily,3,44,17-Oct-14,15-Nov-14,29,2.28,22.8,0.411,0.104,0.094,2.37,23.7,0.96,1.5,0.523,519,0.011,0.105,0.116,0.53,,0.09,0.012,0.112,,
Autumn,weekly,4,2,17-Oct-14,15-Nov-14,29,2.86,28.6,0.775,0.187,0.177,2.97,29.7,1.19,1.66,0.993,186,0.044,0.166,0.21,1.092,,0.11,0.023,0.218,,
Autumn,weekly,4,4,17-Oct-14,15-Nov-14,29,2.54,25.4,0.873,0.237,0.2,2.58,25.8,1.36,1.64,0.877,171,0.059,0.184,0.243,1.049,,0.04,0.006,0.004,,
Autumn,weekly,4,15,17-Oct-14,15-Nov-14,29,3.11,31.1,0.854,0.249,0.196,3.18,31.8,1.44,1.63,0.961,269,0.073,0.193,0.266,1.214,,0.07,0.017,0.107,,
Autumn,weekly,4,26,17-Oct-14,15-Nov-14,29,2.81,28.1,0.753,0.216,0.172,2.93,29.3,1.18,1.62,0.887,289,0.046,0.194,0.24,1.091,,0.12,0.024,0.134,,
Autumn,weekly,4,43,17-Oct-14,15-Nov-14,29,2.14,21.4,0.332,0.08,0.076,2.27,22.7,0.89,1.3,0.375,175,0.008,0.088,0.096,0.465,,0.13,0.016,0.043,,
Autumn,weekly,5,B,17-Oct-14,15-Nov-14,29,2.76,27.6,0.507,0.123,0.116,2.74,27.4,0.96,1.52,0.541,57,0.015,0.104,0.119,0.588,,0.07,0.003,0.034,,
Autumn,weekly,5,17,17-Oct-14,15-Nov-14,29,2.52,25.2,0.509,0.132,0.117,2.64,26.4,1.08,1.49,0.674,225,0.019,0.133,0.152,0.739,,0.12,0.02,0.165,,
Autumn,weekly,5,22,17-Oct-14,15-Nov-14,29,2.69,26.9,681.279,0.155,0.156,2.88,28.8,,,0.83607552,,,,0.191102976,,,0.19,0.036,0.154796705,Dead on Nov 8. Final length estimated from length measured weekly over 2 weeks. Final tissue weight estimated from final length. ,
Autumn,weekly,5,37,17-Oct-14,15-Nov-14,29,2.44,24.4,508.437,0.115,0.116,2.74,27.4,,,0.71997884,,,,0.164566592,,,0.3,0.05,0.2115414,Dead on Nov 15. Final length estimated from length measured weekly over 3 weeks. Final tissue weight estimated from final length. ,
Autumn,weekly,5,C,17-Oct-14,15-Nov-14,29,2.77,27.7,0.476,0.135,0.109,2.85,28.5,1.09,1.7,0.721,114,0.019,0.132,0.151,0.725,,0.08,0.016,0.245,,
Autumn,weekly,6,3,17-Oct-14,15-Nov-14,29,2.46,24.6,0.389,0.085,0.089,2.66,26.6,0.96,1.55,0.48,259,0.006,0.111,0.117,0.703,,0.2,0.032,0.091,,
Autumn,weekly,6,8,17-Oct-14,15-Nov-14,29,2.38,23.8,0.454,0.101,0.104,2.6,26,1.03,1.59,0.587,440,0.014,0.121,0.135,0.717,,0.22,0.034,0.133,,
Autumn,weekly,6,20,17-Oct-14,15-Nov-14,29,2.26,22.6,0.381,0.049,0.087,2.65,26.5,1,1.57,0.592,210,0.007,0.1,0.107,0.552,,0.39,0.058,0.211,,
Autumn,weekly,6,30,17-Oct-14,15-Nov-14,29,2.59,25.9,0.529,0.152,0.121,2.72,27.2,1.1,1.56,0.586,148,0.019,0.156,0.175,0.842,,0.13,0.023,0.057,,
Autumn,weekly,6,35,17-Oct-14,15-Nov-14,29,2.9,29,0.853,0.232,0.195,3.01,30.1,1.29,1.65,0.952,266,0.073,0.183,0.256,1.22,,0.11,0.024,0.099,,
Autumn,never,7,A,17-Oct-14,15-Nov-14,29,2.66,26.6,0.531,0.142,0.122,2.73,27.3,1.01,1.53,0.675,52,0.019,0.136,0.155,0.76,,0.07,0.013,0.144,,
Autumn,never,7,7,17-Oct-14,15-Nov-14,29,2.63,26.3,0.581,0.106,0.133,2.92,29.2,1.18,1.76,0.847,240,0.014,0.147,0.161,0.887,,0.29,0.055,0.266,,
Autumn,never,7,14,17-Oct-14,15-Nov-14,29,2.28,22.8,0.376,0.112,0.086,2.51,25.1,1.09,1.48,0.502,47,0.031,0.113,0.144,0.734,,0.23,0.032,0.126,,
Autumn,never,7,21,17-Oct-14,15-Nov-14,29,2.73,27.3,0.524,0.144,0.12,2.89,28.9,1.1,1.65,0.701,33,0.018,0.157,0.175,0.793,,0.16,0.031,0.177,,
Autumn,never,7,18,17-Oct-14,15-Nov-14,29,2.32,23.2,0.356,0.112,0.082,2.92,29.2,1.18,1.48,0.839,49,0.042,0.172,0.214,1.035,,0.6,0.102,0.483,,
Autumn,never,8,12,17-Oct-14,15-Nov-14,29,2.36,23.6,0.471,0.102,0.108,2.6,26,1.09,1.45,0.596,102,0.029,0.109,0.138,0.685,,0.24,0.036,0.125,,
Autumn,never,8,23,17-Oct-14,15-Nov-14,29,2.15,21.5,1.015,0.079,0.232,2.28,22.8,0.87,1.35,1.475,107,0.012,0.082818816,0.094818816,0.439,,0.13,0.016,0.46,,
Autumn,never,8,33,17-Oct-14,15-Nov-14,29,2.75,27.5,0.7,0.225,0.16,3.14,31.4,1.36,1.7,1.107,86,0.074,0.234,0.308,1.399,,0.39,0.083,0.407,,
Autumn,never,8,36,17-Oct-14,15-Nov-14,29,2.72,27.2,7.48,0.111,0.171,3.04,30.4,1.14,1.76,0.98330624,204,0.015,0.161,0.176,0.892,,0.32,0.065,0.23530624,,
Autumn,never,8,42,17-Oct-14,15-Nov-14,29,2.72,27.2,0.81,0.183,0.185,2.87,28.7,1.2,1.63,0.966,67,0.04,0.172,0.212,0.924,,0.15,0.029,0.156,,
Autumn,never,9,9,17-Oct-14,15-Nov-14,29,2.48,24.8,0.592,0.12,0.136,2.74,27.4,1.21,1.55,0.721,82,0.031,0.133,0.164,0.85,,0.26,0.044,0.129,,
Autumn,never,9,19,17-Oct-14,15-Nov-14,29,2.33,23.3,0.399,0.06,0.091,2.68,26.8,1.03,1.48,0.575,102,0.007,0.107,0.114,0.582,,0.35,0.054,0.176,,
Autumn,never,9,31,17-Oct-14,15-Nov-14,29,2.88,28.8,0.802,0.215,0.184,2.99,29.9,1.2,1.61,0.916,35,0.048,0.19,0.238,1.072,,0.11,0.023,0.114,,
Autumn,never,9,34,17-Oct-14,15-Nov-14,29,2.4,24,0.515,0.081,0.118,2.79,27.9,1.11,1.57,0.752,124,0.026,0.12,0.146,0.731,,0.39,0.065,0.237,,
Autumn,never,9,38,17-Oct-14,15-Nov-14,29,2.68,26.8,0.57,0.196,0.131,2.74,27.4,1.12,1.55,0.667,6,0.058,0.149,0.207,0.968,,0.06,0.011,0.097,,
